Drug_ID	Drug	Y
"Methohexital"	"C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O"	1
"Methoxyflurane"	"COC(F)(F)C(Cl)Cl"	1
"Methylcyclopentane"	"CC1CCCC1"	1
"Nor-1-chlorpromazine"	"CNCCCN1c2ccccc2Sc2ccc(Cl)cc21"	1
"Nor-2-chlorpromazine"	"NCCCN1c2ccccc2Sc2ccc(Cl)cc21"	1
"doxylamine"	"CN(C)CCOC(C)(c1ccccc1)c1ccccn1"	1
"EMD60400"	"CN(C(=O)Cc1ccccc1N)[C@@H](CN1CC[C@@H](O)C1)c1ccccc1"	0
"enoxacin"	"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21"	0
"fleroxacin"	"CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1"	0
"GR85571"	"CC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1"	1
"GR88377"	"O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2occc2[C@H]1CN1CCCC1"	1
"GR89696"	"COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1"	1
"bromazepam"	"O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1"	1
"buclizine"	"CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1"	1
"bufotenine"	"CN(C)CCc1c[nH]c2ccc(O)cc12"	1
"bupropion"	"CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1"	1
"buramate"	"O=C(NCc1ccccc1)OCCO"	1
"butabarbital"	"CCC(C)C1(CC)C(=O)NC(=O)NC1=O"	1
"caffeine"	"Cn1c(=O)c2c(ncn2C)n(C)c1=O"	1
"cannabidiol"	"C=C(C)[C@@H]1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O"	1
"capuride"	"CCC(C)C(CC)C(=O)NC(N)=O"	1
"carbamazepine"	"NC(=O)N1c2ccccc2C=Cc2ccccc21"	1
"Northioridazine"	"CSc1ccc2c(c1)N(CCC1CCCNC1)c1ccccc1S2"	1
"Org13011"	"O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1"	1
"Paraxanthine"	"Cn1c(=O)[nH]c2ncn(C)c2c1=O"	1
"Pentane"	"CCCCC"	1
"Propanol"	"CCCO"	1
"Propanone"	"CC(C)=O"	1
"GR89696_et"	"CCOC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1"	1
"GR89696_pr"	"CCCOC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1"	1
"GR91272"	"O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2occc2[C@H]1CN1CC[C@@H](O)C1"	1
"GR94839"	"CC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CC[C@@H](O)C2)C1"	0
"GR94839_A"	"CC(=O)N1CCN(C(=O)Cc2ccc(C(F)(F)F)cc2)[C@@H](CN2CC[C@@H](O)C2)C1"	0
"GR94839_B"	"CSc1ccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@@H](O)C2)cc1"	0
"GR94839_C"	"CC(=O)N1CCN(C(=O)Cc2cc(F)cc(F)c2)[C@@H](CN2CC[C@@H](O)C2)C1"	0
"GR94839_D"	"COc1cccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@@H](O)C2)c1"	0
"GR94839_E"	"CC(=O)N1CCN(C(=O)Cc2ccc([N+](=O)[O-])cc2)[C@@H](CN2CC[C@H](O)C2)C1"	0
"GR94839_F"	"COc1ccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@@H](O)C2)cc1"	0
"carphenazine"	"CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2"	1
"cartazolate"	"CCCCNc1c(C(=O)OCC)cnc2c1cnn2CC"	1
"centazolone"	"Nn1cnc2cc3ccccc3cc2c1=O"	1
"chloralhydrate"	"OC(O)C(Cl)(Cl)Cl"	1
"chlordiazepoxide"	"CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1"	1
"chlorpromazine"	"CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21"	1
"chlorprothixene"	"CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21"	1
"chlorzoxazone"	"O=c1[nH]c2cc(Cl)ccc2o1"	1
"choline"	"C[N+](C)(C)CCO"	1
"clobazam"	"CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21"	1
"RO19-4603"	"CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O"	1
"SKF101468"	"CCCN(CCC)CCc1cccc2c1CC(=O)N2"	1
"SKF89124"	"CCCN(CCC)CCc1ccc(O)c2c1CC(=O)N2"	1
"Salicyluricacid"	"O=C(O)CNC(=O)c1ccccc1O"	1
"Sulforidazine"	"CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21"	1
"Teflurane"	"FC(Br)C(F)(F)F"	1
"Theobromine"	"Cn1cnc2c1c(=O)[nH]c(=O)n2C"	1
"Thiopental"	"CCCC(C)C1(CC)C(=O)NC(=S)NC1=O"	0
"Toluene"	"Cc1ccccc1"	1
"Triazolam"	"Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2"	1
"GR94839_G"	"CC(=O)N1CCN(C(=O)Cc2cccc([N+](=O)[O-])c2)[C@@H](CN2CC[C@H](O)C2)C1"	0
"GR94839_H"	"CC(=O)N1CCN(C(=O)Cc2ccccc2)[C@@H](CN2CC[C@@H](O)C2)C1"	0
"GR94839_I"	"CC(=O)N1CCN(C(=O)Cc2ccc([S@@](C)=O)cc2)[C@@H](CN2CC[C@H](O)C2)C1"	0
"GR94839_L"	"CC(=O)N1CCN(C(=O)Cc2ccc(S(C)(=O)=O)cc2)[C@@H](CN2CC[C@H](O)C2)C1"	0
"ICI197067"	"CC(C)[C@@H](CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1"	1
"ICI199441"	"CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H](CN1CCCC1)c1ccccc1"	1
"isoxicam"	"Cc1cc(N/C(O)=C2\C(=O)c3ccccc3S(=O)(=O)N2C)no1"	0
"Levallorphan"	"C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13"	1
"lomefloxacin"	"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21"	0
"loperamide"	"CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1"	0
"clomipramine"	"CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21"	1
"clonazepam"	"O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1"	1
"clopenthixol"	"OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1"	1
"clopimozide"	"O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1"	1
"cocaine"	"COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)N2C"	1
"codeine"	"COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314"	1
"cyclazocine"	"CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1"	1
"cyclophenazine"	"FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(C3CC3)CC1)c1ccccc1S2"	1
"deanol"	"CN(C)CCO"	1
"demerol"	"CCOC(=O)C1(c2ccccc2)CCN(C)CC1.[Cl-].[H+]"	1
"Trichloroethylene"	"ClC=C(Cl)Cl"	1
"Trichloromethane"	"ClC(Cl)Cl"	1
"Y-G14"	"CNCCc1ccccn1"	1
"Y-G15"	"CN(C)CCc1ccccn1"	1
"Y-G16"	"NCCc1nccs1"	1
"Y-G19"	"NCCc1nc(-c2ccccc2)cs1"	0
"Y-G20"	"NCCc1cn2ccccc2n1"	0
"m-Xylene"	"Cc1cccc(C)c1"	1
"loratadine"	"CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1"	0
"meloxicam"	"Cc1cnc(N/C(O)=C2/C(=O)c3ccccc3S(=O)(=O)N2C)s1"	0
"Nalorphine"	"C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5"	1
"naltrexone"	"O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5"	1
"norfloxacin"	"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21"	0
"pefloxacin"	"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21"	0
"piroxicam"	"CN1/C(=C(/O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O"	0
"roxindole"	"CS(=O)(=O)O.Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1"	1
"deserpidine"	"COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC"	1
"desipramine"	"CNCCCN1c2ccccc2CCc2ccccc21"	1
"diazepam"	"CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21"	1
"dihydrocodeine"	"COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314"	1
"dihydromorphine"	"CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5"	1
"diphenhydramine"	"CN(C)CCOC(c1ccccc1)c1ccccc1"	1
"diphenhylhydantoin"	"O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1"	1
"dixyrazine"	"CC(CN1CCN(CCOCCO)CC1)CN1c2ccccc2Sc2ccccc21"	1
"DMT"	"COC(=O)c1ccc(C(=O)OC)cc1"	1
"o-Xylene"	"Cc1ccccc1C"	1
"p-Xylene"	"Cc1ccc(C)cc1"	1
"2-propanol"	"CC(C)O"	1
"Carbamazepineepoxide"	"NC(=O)N1c2ccccc2C2OC2c2ccccc21"	1
"SB-222200"	"CC[C@H](NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1"	1
"Tertbutylchlorambucil"	"CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1"	1
"Delavirdine"	"CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1"	0
"Ebastine"	"CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1"	0
"Pirenzepine"	"CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1"	1
"RP60180"	"CCCNC(=O)c1ccc2c(c1)N([C@@H](C)CN1CCCC1)c1ccccc1S2"	1
"rufloxacin"	"CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1"	0
"salbutamol"	"CC(C)(C)NCC(O)c1ccc(O)c(CO)c1"	0
"Sankyo"	"CN1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1"	1
"SB201708"	"O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2[C@H]1CN1CCCC1"	1
"SB204454"	"O=C1NC(=O)[C@@]2(CCN(C(=O)Cc3ccc(Cl)c(Cl)c3)[C@@H](CN3CCCC3)C2)N1"	0
"SB204459"	"O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2[C@H]1CN1CC[C@@H](O)C1"	0
"SB204484"	"O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ncnc2[C@H]1CN1CCCC1"	1
"SB205563"	"O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(CCO)C[C@@H]1CN1CC[C@@H](O)C1"	0
"doxepin"	"CN(C)CC/C=C1/c2ccccc2COc2ccccc21.[Cl-].[H+]"	1
"doxylamine succinate"	"CN(C)CCOC(C)(c1ccccc1)c1ccccn1.O=C(O)CCC(=O)O"	1
"droperidol"	"O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1"	1
"ectylurea"	"C/C=C(\CC)C(=O)NC(N)=O"	1
"emylcamate"	"CCC(C)(CC)OC(N)=O"	1
"estazolam"	"Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2"	1
"etaqualone"	"CCc1ccccc1-n1c(C)nc2ccccc2c1=O"	1
"etazolate"	"CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C"	1
"ethchlorvynol"	"C#CC(O)(/C=C/Cl)CC"	1
"ethinamate"	"C#CC1(OC(N)=O)CCCCC1"	1
"5-66"	"CNCCc1ccccn1"	1
"5-67"	"CN(C)CCc1ccccn1"	1
"5-68"	"NCCc1nccs1"	1
"5-69"	"S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1"	1
"7-K06"	"CN1CC[C@@H]2c3cc(Cl)ccc3Oc3ccccc3[C@H]2C1"	1
"7-K08"	"O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)cc(Cl)n2)CC1"	1
"7-K10"	"Clc1ccc2c(c1)[C@H]1CCNC[C@@H]1c1ccccc1O2"	1
"SB205605"	"O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2[C@H]1CN1CC[C@@H](O)C1"	0
"skb_a"	"CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1"	1
"skb_c"	"CC[C@H](NC(=O)c1c(OCCCN(C)C)c(-c2ccccc2)nc2ccccc12)c1ccccc1"	1
"skb-d"	"CC[C@H](NC(=O)c1c(OCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1"	0
"skb-e"	"CC[C@H](NC(=O)c1c(OCCCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1"	0
"skb-f"	"CC[C@H](NC(=O)c1c(OCCNC(=O)Cc2ccccc2C(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1"	0
"skb-g"	"CC[C@H](NC(=O)c1c(OCCNC(=O)Cc2ccccn2)c(-c2ccccc2)nc2ccccc12)c1ccccc1"	0
"skb-h"	"CC[C@H](NC(=O)c1c(OCCNC(=O)[C@@H]2CCCN2)c(-c2ccccc2)nc2ccccc12)c1ccccc1"	0
"skb-i"	"CC[C@H](NC(=O)c1c(Cn2ccnc2)c(-c2ccccc2)nc2ccccc12)c1ccccc1"	0
"sparfloxacin"	"C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1"	0
"ethosuximide"	"CCC1(C)CC(=O)NC1=O"	1
"etymemazine"	"CCc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2"	1
"flupentixol"	"OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1"	1
"fluphenazine"	"OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1"	1
"flurazepam"	"CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21"	1
"glaziovine"	"COc1cc2c3c(c1O)C1(C=CC(=O)C=C1)CC3N(C)CC2"	1
"glutethimide"	"CCC1(c2ccccc2)CCC(=O)NC1=O"	1
"haloperidol"	"O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1"	1
"harmalol"	"Cc1[nH]ccc2c1[nH]c1cc(=O)ccc12"	1
"harman"	"Cc1nccc2c1[nH]c1ccccc12"	1
"14"	"O=[N+]([O-])c1cc[nH]c1NCCSCc1ccccn1"	1
"15"	"Cc1cc(C(C)(C)SC(C)(C)CNc2[nH]ccc2[N+](=O)[O-])nc(C)c1C"	1
"22"	"C[NH+]O.Cc1oc(C(C)(C)N(C(C)(C)N)C(C)(C)N)c(C)c1C.[OH-]"	1
"23"	"Cc1c[nH+][o+]c(C([NH])CC(C)C(C)(C)N(C(C)(C)C)C(C)(N)N)c1[O-]"	1
"tamitinol"	"CCNCc1c(CSC)cnc(C)c1O"	1
"tenoxicam"	"CN1/C(=C(\O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O"	0
"terfenadine"	"CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1"	0
"U50488"	"CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCC[C@H]1N1CCCC1"	1
"heroin"	"CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314"	1
"hexapropymate"	"C#CCC1(OC(N)=O)CCCCC1"	1
"homophenazine"	"OCCN1CCCN(CCCN2c3ccccc3Sc3cc(C(F)(F)F)ccc32)CC1.[Cl-].[Cl-].[H+].[H+]"	1
"hydrocodone"	"COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314"	1
"hydroxyphenamate"	"CCC(O)(COC(N)=O)c1ccccc1"	1
"hydroxyzine"	"OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1"	1
"imipramine"	"CN(C)CCCN1c2ccccc2CCc2ccccc21"	1
"ketamine"	"CNC1(c2ccccc2Cl)CCCCC1=O"	1
"kynurenic acid"	"O=C(O)c1cc(=O)c2ccccc2[nH]1"	1
"24"	"CC(=O)NCCCOc1cccc(CN2CCCCC2)c1"	1
"25"	"O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1"	1
"26"	"OCCCOc1cccc(CN2CCCCC2)c1"	1
"27"	"c1ccc(NCCCOc2cccc(CN3CCCCC3)c2)nc1"	1
"28"	"c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1"	1
"30"	"c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3o2)c1"	1
"4"	"CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1"	0
"8-5"	"Cc1ccc(CC2=CNC(NCCSCc3ccc(CN(C)C)o3)=NC2)cn1"	0
"BBcpd10"	"CN(C)c1cc(-c2n[nH]c(N)n2)ccn1"	0
"9-C1"	"Cn1c(=O)c2nc[nH]c2n(C)c1=O"	1
"lenperone"	"O=C(CCCN1CCC(C(=O)c2ccc(F)cc2)CC1)c1ccc(F)cc1"	1
"levorphanol"	"CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13"	1
"lidocaine"	"CCN(CC)CC(=O)Nc1c(C)cccc1C"	1
"lorazepam"	"O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O"	1
"lorcainide"	"CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1"	1
"meclofenoxate"	"CN(C)CCOC(=O)COc1ccc(Cl)cc1"	1
"mecloqualone"	"Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl"	1
"medazepam"	"CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21"	1
"meprobamate"	"CCCC(C)(COC(N)=O)COC(N)=O"	1
"9-C15"	"COc1cc2c(c(CN[C@@H]3CCCN[C@H]3c3ccccc3)c1)OCC2"	1
"9-C7"	"NCCn1ncc2cc(Cl)c(Cl)cc21"	1
"Abacavir"	"Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1"	1
"Acebutolol"	"CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1"	1
"Aciclovir"	"Nc1nc(=O)c2ncn(COCCO)c2[nH]1"	1
"Albendazole"	"CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1"	1
"Amifostine"	"NCCCNCCSP(=O)(O)O"	0
"mescaline"	"COc1cc(CCN)cc(OC)c1OC"	1
"mesoridazine"	"CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21"	1
"methamphetamine"	"CN[C@@H](C)Cc1ccccc1"	1
"methaqualone"	"Cc1ccccc1-n1c(C)nc2ccccc2c1=O"	1
"methocarbamol"	"COc1ccccc1OCC(O)COC(N)=O"	1
"methopromazine"	"COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2"	1
"methotrimeprazine"	"COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2"	1
"methylpentynol"	"C#CC(C)(O)CC"	1
"methylphenidate"	"COC(=O)C(c1ccccc1)C1CCCCN1"	1
"methyprylon"	"CCC1(CC)C(=O)NCC(C)C1=O"	1
"Amikacin"	"NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O"	1
"Aminosalicylicacid"	"Nc1ccc(C(=O)O)c(O)c1"	0
"Cytarabine"	"Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1"	1
"Dacarbazine"	"CN(C)N/N=C1/N=CN=C1C(N)=O"	1
"Daunorubicin"	"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1"	0
"Demeclocycline"	"CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12"	0
"Desmethylclobazam"	"O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1"	1
"Desmonomethylpromazine"	"CNCCCN1c2ccccc2Sc2ccccc21"	1
"Dexrazoxane"	"C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1"	0
"midazolam maleate"	"Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2.O=C(O)/C=C\C(=O)O"	1
"moperone"	"Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1"	1
"morphine"	"CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(O)C=C[C@H]3[C@H]1C5"	1
"MPTP"	"CN1CC=C(c2ccccc2)CC1"	1
"naloxone"	"C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5"	1
"nicotine"	"CN1CCC[C@H]1c1cccnc1"	1
"nitrazepam"	"O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1"	1
"nordazepam"	"O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1"	1
"nortriptyline"	"CNCCC=C1c2ccccc2CCc2ccccc21"	1
"orphenadrine"	"Cc1ccccc1C(OCCN(C)C)c1ccccc1"	1
"Dextromethorphan"	"COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3"	1
"Dihydroergotamine"	"CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21"	0
"Disulfiram"	"CCN(CC)C(=S)SSC(=S)N(CC)CC"	1
"Efavirenz"	"O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1"	0
"Enalapril"	"CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O"	0
"Ethambutol"	"CC[C@@H](CO)NCCN[C@@H](CC)CO"	0
"aclarubicin"	"CC[C@@]1(O)C[C@H](OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC"	0
"adicillin"	"CC1(C)S[C@@H]2[C@H](NC(=O)CCC[C@@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O"	0
"adrenaline"	"CNCC(O)c1ccc(O)c(O)c1"	0
"adriamycinol-aglycone"	"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3O"	0
"almecillin"	"C=CCSCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[Na+]"	0
"amantocillin"	"CC1(C)S[C@@H]2[C@H](NC(=O)C34C[C@@H]5C[C@@H](CC(N)(C5)C3)C4)C(=O)N2[C@H]1C(=O)O"	0
"amdinocillinpivoxil"	"CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)[C@@H](N=CN3CCCCCC3)[C@H]2SC1(C)C"	0
"amicycline"	"CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(ccc(N)c4O)C[C@H]3C[C@@H]12"	0
"amrubicin"	"CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O.[Cl-].[H+]"	0
"apalcillin"	"CC1(C)S[C@@H]2C(NC(=O)[C@H](NC(=O)c3c[nH]c4cccnc4c3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O"	0
"apicycline"	"CN(C)[C@@H]1C(=O)/C(=C(/O)NC(C(=O)O)N2CCN(CCO)CC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12"	0
"apramycin"	"CN[C@@H]1[C@@H](O[C@H]2O[C@H](CO)[C@@H](N)[C@H](O)[C@H]2O)O[C@H]2C[C@@H](N)[C@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)O[C@@H]2[C@@H]1O"	0
"arbekacin"	"NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O"	0
"aspoxicillin"	"CNC(=O)C[C@@H](N)C(=O)N[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(O)cc1"	0
"astromicin"	"CO[C@H]1[C@@H](O)[C@H](N)[C@@H](O[C@H]2O[C@H](C(C)N)CC[C@H]2N)[C@H](O)[C@@H]1N(C)C(=O)CN"	0
"aztreonam"	"C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-]"	0
"bacmecillinam"	"CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](N=CN3CCCCCC3)[C@H]2SC1(C)C"	0
"bekanamycin"	"NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)C(O)C1O"	0
"benserazide"	"NC(CO)C(=O)NNCc1ccc(O)c(O)c1O"	0
"bepridil"	"CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1"	0
"berythromycin"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C"	0
